Date,Order ID,Item Name,Category,Quantity,Item Price,Discount,GST,Delivery Charges,Customer Paid Amount,Net Sales,Payment Method,Order Status
2025-09-03,SWG100039,Hakka Noodles,Rice & Noodles,2,360.00,18.00,17.10,0.00,359.10,342.00,UPI,Delivered
2025-09-03,SWG100040,Butter Naan,Breads,1,60.00,0.00,3.00,20.00,83.00,60.00,Credit Card,Delivered
2025-09-03,SWG100041,Gulab Jamun,Desserts,1,90.00,0.00,4.50,40.00,134.50,90.00,Debit Card,Delivered
2025-09-03,SWG100042,Masala Dosa,South Indian,1,140.00,14.00,6.30,20.00,152.30,126.00,Credit Card,Delivered
2025-09-03,SWG100043,Masala Dosa,South Indian,1,140.00,0.00,7.00,0.00,147.00,140.00,UPI,Delivered
2025-09-03,SWG100044,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,20.00,246.80,216.00,UPI,Delivered
2025-09-03,SWG100045,Veg Biryani,Biryani,1,180.00,9.00,8.55,40.00,219.55,171.00,Debit Card,Delivered
2025-09-03,SWG100046,Gulab Jamun,Desserts,3,270.00,0.00,13.50,30.00,313.50,270.00,UPI,Delivered
2025-09-03,SWG100047,Butter Naan,Breads,1,60.00,0.00,3.00,20.00,83.00,60.00,Credit Card,Delivered
2025-09-03,SWG100048,Chicken Tikka,Starters,1,260.00,26.00,11.70,40.00,285.70,234.00,UPI,Delivered
2025-09-03,SWG100049,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,0.00,226.80,216.00,Credit Card,Delivered
2025-09-03,SWG100050,Masala Dosa,South Indian,1,140.00,21.00,5.95,40.00,164.95,119.00,UPI,Delivered
2025-09-03,SWG100051,Paneer Butter Masala,Main Course,2,480.00,24.00,22.80,0.00,478.80,456.00,Credit Card,Delivered
2025-09-03,SWG100052,Paneer Tikka,Starters,1,230.00,23.00,10.35,30.00,247.35,207.00,UPI,Delivered
2025-09-03,SWG100053,Chicken Tikka,Starters,1,260.00,13.00,12.35,0.00,259.35,247.00,Cash,Delivered
2025-09-03,SWG100054,Gulab Jamun,Desserts,1,90.00,4.50,4.28,20.00,109.78,0.00,Credit Card,Cancelled
2025-09-03,SWG100055,Paneer Tikka,Starters,1,230.00,23.00,10.35,40.00,257.35,207.00,Credit Card,Delivered
2025-09-03,SWG100056,Masala Dosa,South Indian,1,140.00,0.00,7.00,40.00,187.00,140.00,Cash,Delivered
2025-09-03,SWG100057,Veg Biryani,Biryani,1,180.00,27.00,7.65,30.00,190.65,153.00,Credit Card,Delivered
2025-09-03,SWG100058,Veg Biryani,Biryani,1,180.00,9.00,8.55,40.00,219.55,171.00,UPI,Delivered
2025-09-03,SWG100059,Masala Dosa,South Indian,1,140.00,21.00,5.95,30.00,154.95,119.00,UPI,Delivered
2025-09-03,SWG100060,Masala Dosa,South Indian,1,140.00,14.00,6.30,0.00,132.30,126.00,Cash,Delivered
2025-09-04,SWG100061,Chicken Tikka,Starters,1,260.00,26.00,11.70,40.00,285.70,234.00,UPI,Delivered
2025-09-04,SWG100062,Paneer Tikka,Starters,2,460.00,23.00,21.85,30.00,488.85,437.00,Cash,Delivered
2025-09-04,SWG100063,Chicken Biryani,Biryani,1,220.00,11.00,10.45,30.00,249.45,209.00,Debit Card,Delivered
2025-09-04,SWG100064,Gulab Jamun,Desserts,1,90.00,0.00,4.50,30.00,124.50,90.00,Cash,Delivered
2025-09-04,SWG100065,Chicken Tikka,Starters,1,260.00,26.00,11.70,20.00,265.70,234.00,Cash,Delivered
2025-09-04,SWG100066,Butter Naan,Breads,1,60.00,6.00,2.70,40.00,96.70,54.00,UPI,Delivered
2025-09-04,SWG100067,Masala Dosa,South Indian,1,140.00,21.00,5.95,30.00,154.95,119.00,Cash,Delivered
2025-09-04,SWG100068,Veg Biryani,Biryani,1,180.00,9.00,8.55,0.00,179.55,171.00,Debit Card,Delivered
2025-09-04,SWG100069,Paneer Butter Masala,Main Course,2,480.00,24.00,22.80,30.00,508.80,456.00,Credit Card,Delivered
2025-09-04,SWG100070,Butter Naan,Breads,1,60.00,3.00,2.85,40.00,99.85,57.00,UPI,Delivered
2025-09-04,SWG100071,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,40.00,209.58,161.50,Credit Card,Delivered
2025-09-04,SWG100072,Butter Naan,Breads,1,60.00,0.00,3.00,0.00,63.00,60.00,Credit Card,Delivered
2025-09-04,SWG100073,Butter Naan,Breads,2,120.00,18.00,5.10,0.00,107.10,102.00,UPI,Delivered
2025-09-04,SWG100074,Fried Rice,Rice & Noodles,1,170.00,25.50,7.23,30.00,181.73,144.50,Cash,Delivered
2025-09-04,SWG100075,Gulab Jamun,Desserts,2,180.00,27.00,7.65,40.00,200.65,153.00,Cash,Delivered
2025-09-04,SWG100076,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,30.00,199.58,161.50,Cash,Delivered
2025-09-05,SWG100077,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,30.00,269.40,228.00,UPI,Delivered
2025-09-05,SWG100078,Butter Naan,Breads,1,60.00,9.00,2.55,20.00,73.55,51.00,UPI,Delivered
2025-09-05,SWG100079,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,Cash,Delivered
2025-09-05,SWG100080,Paneer Tikka,Starters,2,460.00,0.00,23.00,40.00,523.00,460.00,Debit Card,Delivered
2025-09-05,SWG100081,Masala Dosa,South Indian,2,280.00,42.00,11.90,20.00,269.90,238.00,Debit Card,Delivered
2025-09-05,SWG100082,Paneer Tikka,Starters,1,230.00,34.50,9.78,30.00,235.28,195.50,Cash,Delivered
2025-09-05,SWG100083,Butter Naan,Breads,2,120.00,6.00,5.70,0.00,119.70,114.00,UPI,Delivered
2025-09-05,SWG100084,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,40.00,279.40,228.00,Debit Card,Delivered
2025-09-05,SWG100085,Paneer Tikka,Starters,1,230.00,34.50,9.78,30.00,235.28,195.50,Cash,Delivered
2025-09-05,SWG100086,Masala Dosa,South Indian,2,280.00,42.00,11.90,30.00,279.90,238.00,Cash,Delivered
2025-09-05,SWG100087,Chicken Biryani,Biryani,1,220.00,0.00,11.00,30.00,261.00,220.00,UPI,Delivered
2025-09-05,SWG100088,Chicken Biryani,Biryani,2,440.00,22.00,20.90,20.00,458.90,418.00,Credit Card,Delivered
2025-09-05,SWG100089,Veg Biryani,Biryani,1,180.00,0.00,9.00,20.00,209.00,180.00,Debit Card,Delivered
2025-09-05,SWG100090,Chicken Tikka,Starters,1,260.00,0.00,13.00,20.00,293.00,260.00,UPI,Delivered
2025-09-05,SWG100091,Gulab Jamun,Desserts,1,90.00,9.00,4.05,40.00,125.05,81.00,Credit Card,Delivered
2025-09-05,SWG100092,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,0.00,239.40,228.00,Debit Card,Delivered
2025-09-05,SWG100093,Gulab Jamun,Desserts,2,180.00,0.00,9.00,30.00,219.00,180.00,Debit Card,Delivered
2025-09-05,SWG100094,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,0.00,226.80,216.00,Cash,Delivered
2025-09-05,SWG100095,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,40.00,266.80,216.00,Cash,Delivered
2025-09-05,SWG100096,Butter Naan,Breads,1,60.00,6.00,2.70,40.00,96.70,54.00,Debit Card,Delivered
2025-09-06,SWG100097,Chicken Tikka,Starters,2,520.00,0.00,26.00,30.00,576.00,520.00,Credit Card,Delivered
2025-09-06,SWG100098,Fried Rice,Rice & Noodles,1,170.00,25.50,7.23,30.00,181.73,144.50,Debit Card,Delivered
2025-09-06,SWG100099,Butter Naan,Breads,1,60.00,6.00,2.70,30.00,86.70,54.00,Debit Card,Delivered
2025-09-06,SWG100100,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,0.00,179.55,171.00,Cash,Delivered
2025-09-06,SWG100101,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,40.00,209.58,161.50,Cash,Delivered
2025-09-06,SWG100102,Fried Rice,Rice & Noodles,2,340.00,0.00,17.00,30.00,387.00,340.00,Credit Card,Delivered
2025-09-06,SWG100103,Masala Dosa,South Indian,1,140.00,14.00,6.30,40.00,172.30,126.00,Debit Card,Delivered
2025-09-06,SWG100104,Paneer Tikka,Starters,3,690.00,69.00,31.05,30.00,682.05,621.00,Debit Card,Delivered
2025-09-06,SWG100105,Masala Dosa,South Indian,1,140.00,0.00,7.00,20.00,167.00,140.00,Credit Card,Delivered
2025-09-06,SWG100106,Veg Biryani,Biryani,1,180.00,27.00,7.65,30.00,190.65,153.00,Debit Card,Delivered
2025-09-06,SWG100107,Paneer Butter Masala,Main Course,2,480.00,48.00,21.60,20.00,473.60,432.00,Debit Card,Delivered
2025-09-06,SWG100108,Chicken Biryani,Biryani,1,220.00,11.00,10.45,30.00,249.45,209.00,UPI,Delivered
2025-09-06,SWG100109,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,40.00,219.55,171.00,UPI,Delivered
2025-09-06,SWG100110,Gulab Jamun,Desserts,1,90.00,13.50,3.83,40.00,120.33,76.50,UPI,Delivered
2025-09-06,SWG100111,Masala Dosa,South Indian,2,280.00,42.00,11.90,0.00,249.90,238.00,Cash,Delivered
2025-09-06,SWG100112,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,20.00,198.50,170.00,Debit Card,Delivered
2025-09-06,SWG100113,Paneer Butter Masala,Main Course,3,720.00,0.00,36.00,40.00,796.00,720.00,Credit Card,Delivered
2025-09-06,SWG100114,Hakka Noodles,Rice & Noodles,1,180.00,27.00,7.65,30.00,190.65,153.00,Cash,Delivered
2025-09-06,SWG100115,Masala Dosa,South Indian,1,140.00,0.00,7.00,0.00,147.00,140.00,Credit Card,Delivered
2025-09-06,SWG100116,Veg Biryani,Biryani,1,180.00,0.00,9.00,20.00,209.00,180.00,UPI,Delivered
2025-09-07,SWG100117,Gulab Jamun,Desserts,1,90.00,0.00,4.50,20.00,114.50,90.00,Debit Card,Delivered
2025-09-07,SWG100118,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,30.00,199.58,161.50,Credit Card,Delivered
2025-09-07,SWG100119,Paneer Tikka,Starters,1,230.00,11.50,10.93,20.00,249.43,218.50,Credit Card,Delivered
2025-09-07,SWG100120,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,30.00,256.80,216.00,Cash,Delivered
2025-09-07,SWG100121,Masala Dosa,South Indian,1,140.00,14.00,6.30,40.00,172.30,126.00,UPI,Delivered
2025-09-07,SWG100122,Paneer Tikka,Starters,1,230.00,23.00,10.35,0.00,217.35,207.00,UPI,Delivered
2025-09-07,SWG100123,Masala Dosa,South Indian,1,140.00,7.00,6.65,40.00,179.65,133.00,Cash,Delivered
2025-09-07,SWG100124,Masala Dosa,South Indian,1,140.00,21.00,5.95,40.00,164.95,119.00,Cash,Delivered
2025-09-07,SWG100125,Chicken Tikka,Starters,1,260.00,26.00,11.70,0.00,245.70,234.00,Debit Card,Delivered
2025-09-07,SWG100126,Paneer Tikka,Starters,1,230.00,23.00,10.35,40.00,257.35,207.00,UPI,Delivered
2025-09-07,SWG100127,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,30.00,190.65,153.00,Cash,Delivered
2025-09-07,SWG100128,Hakka Noodles,Rice & Noodles,2,360.00,0.00,18.00,40.00,418.00,360.00,Credit Card,Delivered
2025-09-07,SWG100129,Hakka Noodles,Rice & Noodles,1,180.00,27.00,7.65,40.00,200.65,153.00,Credit Card,Delivered
2025-09-07,SWG100130,Masala Dosa,South Indian,1,140.00,14.00,6.30,40.00,172.30,126.00,Cash,Delivered
2025-09-07,SWG100131,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,20.00,259.40,228.00,UPI,Delivered
2025-09-07,SWG100132,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,0.00,179.55,171.00,UPI,Delivered
2025-09-07,SWG100133,Butter Naan,Breads,1,60.00,6.00,2.70,30.00,86.70,54.00,Cash,Delivered
2025-09-07,SWG100134,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,40.00,209.58,161.50,Credit Card,Delivered
2025-09-07,SWG100135,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,30.00,244.20,204.00,Debit Card,Delivered
2025-09-07,SWG100136,Chicken Biryani,Biryani,1,220.00,22.00,9.90,40.00,247.90,198.00,Cash,Delivered
2025-09-07,SWG100137,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,40.00,210.10,162.00,Debit Card,Delivered
2025-09-07,SWG100138,Veg Biryani,Biryani,3,540.00,27.00,25.65,40.00,578.65,513.00,Cash,Delivered
2025-09-07,SWG100139,Chicken Biryani,Biryani,1,220.00,33.00,9.35,40.00,236.35,187.00,Credit Card,Delivered
2025-09-07,SWG100140,Fried Rice,Rice & Noodles,3,510.00,25.50,24.23,30.00,538.73,484.50,Cash,Delivered
2025-09-08,SWG100141,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,0.00,214.20,204.00,Cash,Delivered
2025-09-08,SWG100142,Butter Naan,Breads,1,60.00,6.00,2.70,30.00,86.70,54.00,Cash,Delivered
2025-09-08,SWG100143,Paneer Butter Masala,Main Course,2,480.00,72.00,20.40,30.00,458.40,408.00,Cash,Delivered
2025-09-08,SWG100144,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,20.00,209.00,180.00,Debit Card,Delivered
2025-09-08,SWG100145,Veg Biryani,Biryani,1,180.00,27.00,7.65,0.00,160.65,153.00,UPI,Delivered
2025-09-08,SWG100146,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,0.00,160.65,153.00,UPI,Delivered
2025-09-08,SWG100147,Masala Dosa,South Indian,1,140.00,21.00,5.95,20.00,144.95,119.00,Cash,Delivered
2025-09-08,SWG100148,Gulab Jamun,Desserts,1,90.00,4.50,4.28,20.00,109.78,85.50,Cash,Delivered
2025-09-08,SWG100149,Gulab Jamun,Desserts,1,90.00,13.50,3.83,20.00,100.33,76.50,Debit Card,Delivered
2025-09-08,SWG100150,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,40.00,218.50,170.00,Credit Card,Delivered
2025-09-08,SWG100151,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,30.00,256.80,216.00,Cash,Delivered
2025-09-08,SWG100152,Masala Dosa,South Indian,1,140.00,14.00,6.30,20.00,152.30,0.00,Cash,Cancelled
2025-09-08,SWG100153,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,30.00,256.80,0.00,Debit Card,Cancelled
2025-09-08,SWG100154,Chicken Biryani,Biryani,3,660.00,99.00,28.05,30.00,619.05,561.00,UPI,Delivered
2025-09-08,SWG100155,Gulab Jamun,Desserts,1,90.00,9.00,4.05,20.00,105.05,81.00,Debit Card,Delivered
2025-09-08,SWG100156,Veg Biryani,Biryani,1,180.00,18.00,8.10,20.00,190.10,162.00,UPI,Delivered
2025-09-08,SWG100157,Masala Dosa,South Indian,2,280.00,0.00,14.00,30.00,324.00,280.00,UPI,Delivered
2025-09-08,SWG100158,Masala Dosa,South Indian,1,140.00,21.00,5.95,20.00,144.95,119.00,Debit Card,Delivered
2025-09-08,SWG100159,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,20.00,190.10,162.00,Cash,Delivered
2025-09-08,SWG100160,Masala Dosa,South Indian,1,140.00,14.00,6.30,0.00,132.30,126.00,UPI,Delivered
2025-09-08,SWG100161,Butter Naan,Breads,2,120.00,6.00,5.70,40.00,159.70,114.00,Debit Card,Delivered
2025-09-09,SWG100162,Masala Dosa,South Indian,1,140.00,21.00,5.95,30.00,154.95,119.00,Debit Card,Delivered
2025-09-09,SWG100163,Gulab Jamun,Desserts,1,90.00,9.00,4.05,0.00,85.05,81.00,Cash,Delivered
2025-09-09,SWG100164,Chicken Biryani,Biryani,1,220.00,22.00,9.90,20.00,227.90,198.00,Cash,Delivered
2025-09-09,SWG100165,Masala Dosa,South Indian,1,140.00,0.00,7.00,20.00,167.00,140.00,UPI,Delivered
2025-09-09,SWG100166,Masala Dosa,South Indian,3,420.00,0.00,21.00,0.00,441.00,420.00,Credit Card,Delivered
2025-09-09,SWG100167,Paneer Tikka,Starters,1,230.00,34.50,9.78,20.00,225.28,195.50,UPI,Delivered
2025-09-09,SWG100168,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,0.00,160.65,153.00,Credit Card,Delivered
2025-09-09,SWG100169,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,30.00,199.58,161.50,Debit Card,Delivered
2025-09-09,SWG100170,Hakka Noodles,Rice & Noodles,2,360.00,36.00,16.20,0.00,340.20,324.00,Credit Card,Delivered
2025-09-09,SWG100171,Paneer Butter Masala,Main Course,2,480.00,72.00,20.40,0.00,428.40,408.00,UPI,Delivered
2025-09-09,SWG100172,Chicken Biryani,Biryani,2,440.00,22.00,20.90,20.00,458.90,418.00,Credit Card,Delivered
2025-09-09,SWG100173,Paneer Butter Masala,Main Course,2,480.00,24.00,22.80,20.00,498.80,456.00,Credit Card,Delivered
2025-09-09,SWG100174,Chicken Tikka,Starters,2,520.00,0.00,26.00,30.00,576.00,520.00,Credit Card,Delivered
2025-09-09,SWG100175,Butter Naan,Breads,1,60.00,3.00,2.85,0.00,59.85,57.00,UPI,Delivered
2025-09-09,SWG100176,Butter Naan,Breads,1,60.00,3.00,2.85,30.00,89.85,57.00,Debit Card,Delivered
2025-09-09,SWG100177,Chicken Biryani,Biryani,1,220.00,33.00,9.35,0.00,196.35,187.00,Cash,Delivered
2025-09-09,SWG100178,Fried Rice,Rice & Noodles,2,340.00,0.00,17.00,40.00,397.00,340.00,UPI,Delivered
2025-09-09,SWG100179,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,0.00,189.00,0.00,Cash,Cancelled
2025-09-09,SWG100180,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,UPI,Delivered
2025-09-09,SWG100181,Chicken Tikka,Starters,1,260.00,0.00,13.00,20.00,293.00,260.00,Debit Card,Delivered
2025-09-09,SWG100182,Paneer Tikka,Starters,3,690.00,69.00,31.05,40.00,692.05,621.00,Cash,Delivered
2025-09-10,SWG100183,Paneer Butter Masala,Main Course,2,480.00,0.00,24.00,20.00,524.00,480.00,Credit Card,Delivered
2025-09-10,SWG100184,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,UPI,Delivered
2025-09-10,SWG100185,Chicken Tikka,Starters,1,260.00,26.00,11.70,30.00,275.70,234.00,Cash,Delivered
2025-09-10,SWG100186,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,0.00,252.00,240.00,Debit Card,Delivered
2025-09-10,SWG100187,Butter Naan,Breads,1,60.00,6.00,2.70,0.00,56.70,54.00,Cash,Delivered
2025-09-10,SWG100188,Chicken Biryani,Biryani,3,660.00,66.00,29.70,30.00,653.70,594.00,Credit Card,Delivered
2025-09-10,SWG100189,Butter Naan,Breads,1,60.00,3.00,2.85,0.00,59.85,57.00,Debit Card,Delivered
2025-09-10,SWG100190,Paneer Butter Masala,Main Course,2,480.00,24.00,22.80,40.00,518.80,456.00,UPI,Delivered
2025-09-10,SWG100191,Gulab Jamun,Desserts,2,180.00,18.00,8.10,0.00,170.10,162.00,Debit Card,Delivered
2025-09-10,SWG100192,Chicken Tikka,Starters,1,260.00,13.00,12.35,20.00,279.35,247.00,Cash,Delivered
2025-09-10,SWG100193,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,0.00,252.00,240.00,Credit Card,Delivered
2025-09-10,SWG100194,Paneer Tikka,Starters,1,230.00,23.00,10.35,20.00,237.35,207.00,Debit Card,Delivered
2025-09-10,SWG100195,Gulab Jamun,Desserts,1,90.00,0.00,4.50,20.00,114.50,90.00,UPI,Delivered
2025-09-10,SWG100196,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,40.00,254.20,204.00,Cash,Delivered
2025-09-10,SWG100197,Masala Dosa,South Indian,1,140.00,0.00,7.00,30.00,177.00,140.00,Debit Card,Delivered
2025-09-10,SWG100198,Gulab Jamun,Desserts,1,90.00,9.00,4.05,0.00,85.05,81.00,UPI,Delivered
2025-09-10,SWG100199,Chicken Biryani,Biryani,1,220.00,11.00,10.45,20.00,239.45,209.00,Debit Card,Delivered
2025-09-10,SWG100200,Chicken Tikka,Starters,1,260.00,39.00,11.05,40.00,272.05,221.00,Cash,Delivered
2025-09-10,SWG100201,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,0.00,170.10,162.00,UPI,Delivered
2025-09-10,SWG100202,Paneer Tikka,Starters,1,230.00,0.00,11.50,30.00,271.50,230.00,Cash,Delivered
2025-09-11,SWG100203,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,20.00,246.80,216.00,Cash,Delivered
2025-09-11,SWG100204,Chicken Tikka,Starters,1,260.00,0.00,13.00,20.00,293.00,260.00,Cash,Delivered
2025-09-11,SWG100205,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,30.00,200.10,162.00,Credit Card,Delivered
2025-09-11,SWG100206,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,20.00,272.00,240.00,Debit Card,Delivered
2025-09-11,SWG100207,Chicken Tikka,Starters,1,260.00,13.00,12.35,20.00,279.35,247.00,Debit Card,Delivered
2025-09-11,SWG100208,Veg Biryani,Biryani,1,180.00,9.00,8.55,0.00,179.55,171.00,Cash,Delivered
2025-09-11,SWG100209,Fried Rice,Rice & Noodles,2,340.00,51.00,14.45,30.00,333.45,289.00,Debit Card,Delivered
2025-09-11,SWG100210,Butter Naan,Breads,1,60.00,9.00,2.55,40.00,93.55,51.00,Debit Card,Delivered
2025-09-11,SWG100211,Gulab Jamun,Desserts,1,90.00,0.00,4.50,30.00,124.50,90.00,UPI,Delivered
2025-09-11,SWG100212,Chicken Biryani,Biryani,1,220.00,22.00,9.90,0.00,207.90,198.00,UPI,Delivered
2025-09-11,SWG100213,Gulab Jamun,Desserts,1,90.00,13.50,3.83,40.00,120.33,76.50,UPI,Delivered
2025-09-11,SWG100214,Fried Rice,Rice & Noodles,2,340.00,17.00,16.15,30.00,369.15,323.00,Credit Card,Delivered
2025-09-11,SWG100215,Chicken Biryani,Biryani,1,220.00,22.00,9.90,0.00,207.90,198.00,Credit Card,Delivered
2025-09-11,SWG100216,Chicken Biryani,Biryani,1,220.00,33.00,9.35,40.00,236.35,187.00,Credit Card,Delivered
2025-09-11,SWG100217,Chicken Tikka,Starters,1,260.00,26.00,11.70,40.00,285.70,234.00,Debit Card,Delivered
2025-09-11,SWG100218,Gulab Jamun,Desserts,1,90.00,9.00,4.05,0.00,85.05,81.00,Cash,Delivered
2025-09-12,SWG100219,Masala Dosa,South Indian,1,140.00,7.00,6.65,30.00,169.65,133.00,Credit Card,Delivered
